datetime,amount,description
3/14/23 0:00,-1075000,ACH DEBIT TAX AUTHORITY PAYMENT FWM0CPU5MA 8
7/31/23 0:00,-223333.33,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""LONEPINE POINT PLC"" SG77RHZB"
10/20/23 0:00,-218826.36,ACH DEBIT PAYMENT PROCESSOR PAYABLES HIGHLAND POINTE LP 29T5PLFW3CRF
4/17/23 0:00,-200000,ACH DEBIT CARD PROCESSOR ACH PMT ATLAS SPRINGS INC X3A56QGDS
6/28/23 0:00,-200000,ACH DEBIT TAX AUTHORITY  PAYMENT VA40UMCCXB3I 6
2/20/24 0:00,-200000,ACH DEBIT PAYMENT PROCESSOR PAYABLES SEAVIEW INDUSTRIES CORP 6B7ZJHV
1/22/24 0:00,-143175.49,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROSSWIND EDGE LLC 3HJ9CJUTRF5PO5RG
9/8/23 0:00,-135333.33,ACH DEBIT PAYMENT PROCESSOR PAYABLES EVERCREST POINT PLC VZA4V43T7J6DW0M
3/28/23 0:00,-120000,ACH DEBIT PAYMENT PROCESSOR PAYABLES WINDWARD ATLAS LLC K4Y8FFNSRQR 7
2/2/24 0:00,-119800,INCOMING WIRE WESTHAVEN CREEK INC HJ8LOF4UT5YI
2/23/24 0:00,-114974.98,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERTON MERIDIAN LTD VEM04KKL1BG48
10/18/23 0:00,-109500,ACH DEBIT PAYMENT PROCESSOR PAYABLES BRIGHTLINE ANALYTICS LLC 9PSPW2DS1RB7YSQ
1/2/24 0:00,-107600,INTERNET TRANSFER TO DDA# 20333938660 ON18 AT 03.22
5/30/23 0:00,-100000,INCOMING WIRE HILLSIDE LEDGER CO SPT68N5Q
6/6/23 0:00,-98712.83,ACH DEBIT PAYMENT PROCESSOR PAYABLES WESTGATE BLOOM LLC ZJO8FQO2V1F
7/20/23 0:00,-94511.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES VALEWOOD OPERATIONS LP FO0URYSNAHBDM 7
8/25/23 0:00,-92537.5,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE HARBOR PLC UPJCLE
11/24/23 0:00,-92185.62,INCOMING WIRE SOUTHPORT CROSSING SERVICES LTD 4QCEH6OPM
6/7/23 0:00,-80000,ACH DEBIT CARD PROCESSOR ACH PMT SPRINGLINE EDGE  LLC LMV69QPQ7PJBFD
1/11/24 0:00,-80000,ACH DEBIT CARD PROCESSOR ACH PMT RIDGELAND CROSSING LTD PD17VZ8
6/23/23 0:00,-77207.04,INTERNET TRANSFER TO DDA# 20574394082 ON21 AT 00.41
1/3/24 0:00,-75531.12,INTERNET TRANSFER TO DDA# 20338639206 ON04 AT 06.25
2/27/23 0:00,-70666,ZELLE DEBIT PAYMENT TO: P. MORGAN . ID: KDW26VT2ZG9QIIGO
4/20/23 0:00,-70000,ZELLE DEBIT PAYMENT TO: J. CLARK . ID: YU2WKH3C1MT
3/23/23 0:00,-64000,ACH DEBIT TAX AUTHORITY PAYMENT 9OT3ZNHGQ5VW5NZD 1
11/30/23 0:00,-53997.15,ACH DEBIT PAYMENT PROCESSOR PAYABLES PINECREST MERIDIAN INC U5DN1DH 5
11/2/23 0:00,-53859.93,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE POINTE PLC IZTCCFJBPPAW 6
3/13/24 0:00,-50328.54,"ACH CREDIT ACCOUNTING APP OXUHZPWURQA4PRDR DEPOSIT ""AUTUMN RIDGE MEADOW CO"", L S2BY6KMPYTP3C2IR"
9/28/23 0:00,-48697.15,ACH DEBIT PAYMENT PROCESSOR PAYABLES MEADOWRIDGE DIGITAL CORP PUU5UB
10/2/23 0:00,-48567.29,INTERNET TRANSFER TO DDA# 20566693421 ON12 AT 01.46
3/1/24 0:00,-46083.33,ZELLE DEBIT PAYMENT TO: P. MORRIS . ID: ORRT9HIR
11/2/23 0:00,-43632.09,INTERNET TRANSFER TO DDA# 20303378375 ON17 AT 00.49
6/9/23 0:00,-41124.34,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORVIEW SANDS HOLDINGS CORP AFZUOQLNS279
5/11/23 0:00,-41000,ACH DEBIT TAX AUTHORITY PAYMENT EIIDUPA6OHH 9
9/20/23 0:00,-40000,ACH DEBIT CARD PROCESSOR ACH PMT EMBERLINE DIGITAL LP BS68LDGMALB
4/29/23 0:00,-40000,ZELLE DEBIT PAYMENT TO: S. PHILLIPS . ID: 8PHLUTNXZ
12/1/23 0:00,-37067.29,"ACH CREDIT ACCOUNTING APP VLMKHCQO DEPOSIT ROCKBRIDGE POINT SYSTEMS LP, L 8J6RMZ8O3XO"
11/30/23 0:00,-36954.17,ACH DEBIT CARD PROCESSOR ACH PMT STONEGATE SANDS LLC T4NMQ3KKB4V07X 8
3/21/23 0:00,-31500,ACH DEBIT CARD PROCESSOR ACH PMT COBALT RIDGE DATA LP V5FQFRWHTPT 2
3/10/23 0:00,-31000,ZELLE DEBIT PAYMENT TO: K. CAMPBELL . ID: JO14LO
2/21/24 0:00,-27156.67,ACH DEBIT CARD PROCESSOR ACH PMT SILVERPOINT BAY LP K7E5FPJQ8TD5QH
2/28/24 0:00,-25463.51,INCOMING WIRE COBALT RIDGE DATA LP UW6N4XZA82
8/3/23 0:00,-25000,ACH DEBIT CARD PROCESSOR ACH PMT SPRINGLINE VALLEY INC 28ELSZ 9
3/23/23 0:00,-24000,ACH DEBIT TAX AUTHORITY PAYMENT OK9TB3XD9
3/8/23 0:00,-23841.67,INCOMING WIRE EASTWOOD POINT INC DNUJGJIQLO2RHWC 1
11/1/23 0:00,-23333.33,ACH DEBIT TAX AUTHORITY PAYMENT RN8X6R1YWJC6 9
6/30/23 0:00,-23333.33,ACH DEBIT CARD PROCESSOR ACH PMT LAKESHORE VALLEY SOLUTIONS LLC 012B50XNAA
5/31/23 0:00,-23333.33,ACH DEBIT CARD PROCESSOR ACH PMT COPPERFIELD ANALYTICS LLC NP0ET7A9I59WN
9/29/23 0:00,-23333.33,INTERNET TRANSFER TO DDA# 20688764656 ON17 AT 03.41
3/28/24 0:00,-23041.67,ACH DEBIT TAX AUTHORITY PAYMENT O9R9PO
8/23/23 0:00,-22395.84,ACH DEBIT PAYMENT PROCESSOR PAYABLES BLUE HARBOR HARBOR CO K3UD6C
12/28/23 0:00,-22256.88,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""EVERCREST HORIZON CO"" I8UZTUIJGTDEKW"
1/26/24 0:00,-21489.76,INTERNET TRANSFER TO DDA# 20900132073 ON28 AT 03.09
4/5/23 0:00,-20833.33,ATM WITHDRAWAL #0328 909 RIVER ST NORTH TOWN IL TERMINAL TX90
5/4/23 0:00,-20833.33,INTERNET TRANSFER TO DDA# 20870643719 ON28 AT 06.36
6/22/23 0:00,-19854.17,INCOMING WIRE WILLOWBEND VISTA PLC EKJTSUQYTYH9IBK
8/21/23 0:00,-18104.17,ACH DEBIT CARD PROCESSOR ACH PMT AMBERWOOD VALE LP K9I87RP5U7
10/5/23 0:00,-17860.84,"ACH CREDIT ACCOUNTING APP 460D55ZFCOK DEPOSIT BAYVIEW PROPERTIES LP, L VDC1MDYF3KQRJGH3"
3/4/24 0:00,-17833.33,INTERNET TRANSFER TO DDA# 20687986351 ON28 AT 22.17
8/14/23 0:00,-17070.88,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORVIEW FORGE DIGITAL LP SLVNRJVT2NZ0ZR
1/2/24 0:00,-16869.05,MOBILE  DEPOSIT SBATB
3/20/23 0:00,-16166.67,ZELLE DEBIT PAYMENT TO: P. SCOTT . ID: YISYY5XH80
5/1/23 0:00,-15000,INTERNET TRANSFER TO DDA# 20181431715 ON13 AT 08.07
7/10/23 0:00,-14584.53,"ZELLE DEBIT PAYMENT TO: ""D. GREEN"" . ID: 7LZQ1O85XBIRK8 5"
4/26/23 0:00,-14186.67,ACH DEBIT TAX AUTHORITY PAYMENT XUMO3PI5UL89G7LL 8
3/12/24 0:00,-14011.04,ACH DEBIT PAYMENT PROCESSOR PAYABLES LONEPINE RESOURCES LTD BBS9EXHFK8PCN1
3/20/23 0:00,-13825,ACH DEBIT TAX AUTHORITY PAYMENT WYSC7EU8FR6R3PR 7 6
7/28/23 0:00,-13342.53,INCOMING WIRE ROCKBRIDGE FIELD CORP VFXFH3475Y2P9
10/6/23 0:00,-13333.32,ZELLE DEBIT PAYMENT TO: B. RAMIREZ . ID: 724MO4DS6W
2/14/24 0:00,-13312.66,INTERNET TRANSFER TO DDA# 20171160836 ON29 AT 04.22
1/5/24 0:00,-13066.08,INTERNET TRANSFER TO DDA# 20075050510 ON16 AT 20.16
