datetime,amount,description,journal_entry_id
3/14/23 0:00,120000,MILESTONE PAYMENT,c8bfe4be-e919-4b18-836e-4dc0de3e5436
9/25/23 0:00,64867.94,Federal Tax Payment,eee04c6b-6dab-4eec-aff0-60df28d2d2e6
6/7/23 0:00,58000,Clearing Reclass,118734a6-cea0-4514-a295-d1e59e78c6ca
4/12/23 0:00,58000,Retainer,60ae8f8d-e075-40cd-b59e-298a892785f0
7/10/23 0:00,58000,Fee Reversal,ad69cf7c-0742-4293-ba60-26b3777e54c0
5/3/23 0:00,58000,Operating transfer,3b566af5-0ad9-4bce-9883-a6e9338805c7
3/8/23 0:00,58000,Equipment purchase,1f1f28cf-761a-4b6f-97ab-c641e1edcef9
3/28/23 0:00,52500,Authorization Fee,ad160545-d4ac-4cc0-978c-effb146a4907
10/2/23 0:00,41666.67,Advance Billing,39efad2f-d28b-417a-83f5-af39386e3e84
1/8/24 0:00,41666.67,Invoice Settlement,77aa29f7-a6e6-40c3-872b-b8fb5bc1b37b
10/30/23 0:00,41666.67,Stipend,f231e39e-4f67-4cf1-ba6a-dfcf7ce04274
11/30/23 0:00,41666.67,PAYE,66d0aaea-b21d-4ac5-aca5-ecb67d0cdb3e
7/5/23 0:00,37500,Intercompany transfer,88f70c7e-366a-405c-af47-495d6e8ef456
3/2/23 0:00,37500,TREASURY MOVEMENT,a71b174d-2611-4630-b55d-2dc2fa9d6962
8/9/23 0:00,37500,Security deposit,32e69e56-0b1c-41dd-927e-95e42f7bed87
3/30/23 0:00,37500,Issue Triage,de0c0f97-9a4e-41f4-bc2f-be7418de51b4
6/1/23 0:00,37500,Consulting Services,d404beac-99be-432b-a9b6-aee388fe4d80
4/27/23 0:00,37500,Stipend,522f49ea-11d0-4a26-9409-1caf8db50653
9/1/23 0:00,37500,,21cd2744-bb8f-40c7-b2ff-3c4c883e8011
9/7/23 0:00,36000,,97a8cf93-8ef4-4625-8ea3-8831ff7b777f
3/12/24 0:00,36000,VAT REMITTANCE,33162ebb-5aa8-4e59-9a23-665540bcc917
3/14/23 0:00,35000,ONBOARDING SERVICES,5ef3ea7d-7966-4250-ac01-14339b2c6f40
4/21/23 0:00,35000,Test Environment,6512e85a-5865-450e-89a7-2835c3d431b3
